disease,MEDICATION:
ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate; amphetamine / dextroamphetamine; dextroamphetamine; clonidine; bupropion; guanfacine; lisdexamfetamine; amphetamine; atomoxetine; methylphenidate; amphetamine / dextroamphetamine; dextroamphetamine; clonidine; bupropion; guanfacine; lisdexamfetamine; amphetamine; atomoxetine; methylphenidate; amphetamine / dextroamphetamine; dextroamphetamine; clonidine; bupropion; guanfacine; lisdexamfetamine; amphetamine; atomoxetine; methylphenidate; amphetamine / dextroamphetamine; dextroamphetamine; clonidine; bupropion; guanfacine; lisdexamfetamine; amphetamine; atomoxetine; methylphenidate; amphetamine / dextroamphetamine; dextroamphetamine; clonidine; bupropion; guanfacine; lisdexamfetamine; amphetamine; atomoxetine; methylphenidate; amphetamine / dextroamphetamine; dextroamphetamine; clonidine; bupropion; guanfacine; lisdexamfetamine; amphetamine; atomoxetine
Addison's Disease,hydrocortisone; fludrocortisone; dexamethasone; hydrocortisone; fludrocortisone; dexamethasone
Renal Cell Carcinoma,pazopanib; sunitinib; axitinib; nivolumab; sorafenib; everolimus; bevacizumab; cabozantinib; medroxyprogesterone; aldesleukin; capecitabine; temsirolimus; lenvatinib; pazopanib; sunitinib; axitinib; nivolumab; sorafenib; everolimus; bevacizumab; cabozantinib; medroxyprogesterone; aldesleukin; capecitabine; temsirolimus; lenvatinib; pazopanib; sunitinib; axitinib; nivolumab; sorafenib; everolimus; bevacizumab; cabozantinib; medroxyprogesterone; aldesleukin; capecitabine; temsirolimus; lenvatinib; pazopanib; sunitinib; axitinib; nivolumab; sorafenib; everolimus; bevacizumab; cabozantinib; medroxyprogesterone; aldesleukin; capecitabine; temsirolimus; lenvatinib; pazopanib; sunitinib; axitinib; nivolumab; sorafenib; everolimus; bevacizumab; cabozantinib; medroxyprogesterone; aldesleukin; capecitabine; temsirolimus; lenvatinib; pazopanib; sunitinib; axitinib; nivolumab; sorafenib; everolimus; bevacizumab; cabozantinib; medroxyprogesterone; aldesleukin; capecitabine; temsirolimus; lenvatinib; pazopanib; sunitinib; axitinib; nivolumab; sorafenib; everolimus; bevacizumab; cabozantinib; medroxyprogesterone; aldesleukin; capecitabine; temsirolimus; lenvatinib; pazopanib; sunitinib; axitinib; nivolumab; sorafenib; everolimus; bevacizumab; cabozantinib; medroxyprogesterone; aldesleukin; capecitabine; temsirolimus; lenvatinib; pazopanib; sunitinib; axitinib; nivolumab; sorafenib; everolimus; bevacizumab; cabozantinib; medroxyprogesterone; aldesleukin; capecitabine; temsirolimus; lenvatinib
Adenovirus Prophylaxis,adenovirus vaccine
Frozen Shoulder,diclofenac; ibuprofen; naproxen; nabumetone; piroxicam; indomethacin; triamcinolone; diclofenac; ibuprofen; naproxen; nabumetone; piroxicam; indomethacin; triamcinolone
Dercum's Disease,fentanyl; pregabalin; fentanyl; pregabalin; fentanyl; pregabalin; fentanyl; pregabalin; fentanyl; pregabalin
Adjunct to Antibiotic Therapy,probenecid
Polycystic Kidney Disease,enalapril; lisinopril; captopril; enalapril; lisinopril; captopril; enalapril; lisinopril; captopril; enalapril; lisinopril; captopril
Adrenal Cortical Carcinoma,mitotane
Adrenal Insufficiency,dexamethasone; cortisone; dexamethasone; cortisone; dexamethasone; cortisone; dexamethasone; cortisone
Adrenocortical Insufficiency,hydrocortisone; prednisone; dexamethasone; triamcinolone; cosyntropin
Adrenogenital Syndrome,fludrocortisone; prednisone; dexamethasone; methylprednisolone; fludrocortisone; prednisone; dexamethasone; methylprednisolone
Adult Human Growth Hormone Deficiency,somatropin
Still's Disease,anakinra; tocilizumab; etanercept; anakinra; tocilizumab; etanercept; anakinra; tocilizumab; etanercept
Atrial Fibrillation,digoxin; metoprolol; diltiazem; flecainide; sotalol; carvedilol; propafenone; rivaroxaban; dronedarone; clonidine; propranolol; digoxin; metoprolol; diltiazem; flecainide; sotalol; carvedilol; propafenone; rivaroxaban; dronedarone; clonidine; propranolol; digoxin; metoprolol; diltiazem; flecainide; sotalol; carvedilol; propafenone; rivaroxaban; dronedarone; clonidine; propranolol; digoxin; metoprolol; diltiazem; flecainide; sotalol; carvedilol; propafenone; rivaroxaban; dronedarone; clonidine; propranolol; digoxin; metoprolol; diltiazem; flecainide; sotalol; carvedilol; propafenone; rivaroxaban; dronedarone; clonidine; propranolol
Trypanosomiasis,pentamidine; benznidazole; pentamidine; benznidazole; pentamidine; benznidazole; pentamidine; benznidazole
Aggressive Behavior,haloperidol
Agitated State,aripiprazole; olanzapine; loxapine
Agitation,risperidone; olanzapine; citalopram; amitriptyline / perphenazine; loxapine
Myelofibrosis,ruxolitinib; fedratinib; ruxolitinib; fedratinib; ruxolitinib; fedratinib; ruxolitinib; fedratinib; ruxolitinib; fedratinib; ruxolitinib; fedratinib; ruxolitinib; fedratinib
Agoraphobia,fluoxetine
Neutropenia,filgrastim; filgrastim; filgrastim; filgrastim
AIDS Related Wasting,dronabinol; megestrol; somatropin; dronabinol; megestrol; somatropin; dronabinol; megestrol; somatropin; dronabinol; megestrol; somatropin; dronabinol; megestrol; somatropin
Akathisia,propranolol
Alcohol Dependence,naltrexone; acamprosate; disulfiram; ondansetron
Alcoholism,gabapentin enacarbil; gabapentin enacarbil; gabapentin enacarbil
Alcohol Withdrawal,gabapentin; baclofen; chlordiazepoxide; diazepam; clonidine; atenolol; oxazepam; clorazepate; gabapentin; baclofen; chlordiazepoxide; diazepam; clonidine; atenolol; oxazepam; clorazepate; gabapentin; baclofen; chlordiazepoxide; diazepam; clonidine; atenolol; oxazepam; clorazepate; gabapentin; baclofen; chlordiazepoxide; diazepam; clonidine; atenolol; oxazepam; clorazepate
Alcoholic Liver Damage,propylthiouracil; oxandrolone; propylthiouracil; oxandrolone; propylthiouracil; oxandrolone
Vaginal pH Imbalance,hydroxyquinoline; hydroxyquinoline
Alkalosis,ammonium chloride; ammonium chloride; ammonium chloride
Allergic Asthma,terbutaline; salmeterol; terbutaline; salmeterol
"Conjunctivitis, Allergic",ketotifen; azelastine; cromolyn; prednisone; prednisolone; epinastine; nedocromil; bepotastine; cetirizine; alcaftadine; carbinoxamine; doxylamine; ketotifen; azelastine; cromolyn; prednisone; prednisolone; epinastine; nedocromil; bepotastine; cetirizine; alcaftadine; carbinoxamine; doxylamine; ketotifen; azelastine; cromolyn; prednisone; prednisolone; epinastine; nedocromil; bepotastine; cetirizine; alcaftadine; carbinoxamine; doxylamine
Atopic Dermatitis,triamcinolone; clobetasol; betamethasone; fluocinonide; hydrocortisone; tacrolimus; prednisone; mometasone; desonide; fluocinolone; desoximetasone; fluticasone; methylprednisolone; dexamethasone; azathioprine; triamcinolone; clobetasol; betamethasone; fluocinonide; hydrocortisone; tacrolimus; prednisone; mometasone; desonide; fluocinolone; desoximetasone; fluticasone; methylprednisolone; dexamethasone; azathioprine; triamcinolone; clobetasol; betamethasone; fluocinonide; hydrocortisone; tacrolimus; prednisone; mometasone; desonide; fluocinolone; desoximetasone; fluticasone; methylprednisolone; dexamethasone; azathioprine; triamcinolone; clobetasol; betamethasone; fluocinonide; hydrocortisone; tacrolimus; prednisone; mometasone; desonide; fluocinolone; desoximetasone; fluticasone; methylprednisolone; dexamethasone; azathioprine; triamcinolone; clobetasol; betamethasone; fluocinonide; hydrocortisone; tacrolimus; prednisone; mometasone; desonide; fluocinolone; desoximetasone; fluticasone; methylprednisolone; dexamethasone; azathioprine
Allergic Reactions,diphenhydramine; prednisone; loratadine; epinephrine; chlorpheniramine; promethazine; triamcinolone; cyproheptadine; diphenhydramine; prednisone; loratadine; epinephrine; chlorpheniramine; promethazine; triamcinolone; cyproheptadine
Allergic Rhinitis,cetirizine; loratadine; fluticasone; montelukast; fexofenadine; azelastine; diphenhydramine; prednisone; levocetirizine; cetirizine; loratadine; fluticasone; montelukast; fexofenadine; azelastine; diphenhydramine; prednisone; levocetirizine; cetirizine; loratadine; fluticasone; montelukast; fexofenadine; azelastine; diphenhydramine; prednisone; levocetirizine
Allergic Urticaria,hydroxyzine; famotidine; triprolidine; carbinoxamine; tetracaine
Allergies,hydroxyzine; levocetirizine; loratadine; doxylamine; corticotropin; triprolidine; dexbrompheniramine; chlorpheniramine / ibuprofen / phenylephrine; dexbrompheniramine / phenylephrine; hydroxyzine; levocetirizine; loratadine; doxylamine; corticotropin; triprolidine; dexbrompheniramine; chlorpheniramine / ibuprofen / phenylephrine; dexbrompheniramine / phenylephrine; hydroxyzine; levocetirizine; loratadine; doxylamine; corticotropin; triprolidine; dexbrompheniramine; chlorpheniramine / ibuprofen / phenylephrine; dexbrompheniramine / phenylephrine
